"X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
202,2016,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","32","Englemount-Lawrence",191
203,2014,"D13","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","32","Englemount-Lawrence",48
204,2022,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","123","Cliffcrest",1
205,2015,"D33","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","120","Clairlea-Birchmount",5
206,2014,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","148","East L'Amoreaux",1
207,2016,"D11","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","91","Weston-Pelham Park",31
208,2022,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","126","Dorset Park",775
209,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","85","South Parkdale",2
210,2016,"D33","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","53","Henry Farm",48
211,2021,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","90","Junction Area",99
212,2018,"D51","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","168","Downtown Yonge East",438
213,2022,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","84","Little Portugal",119
214,2016,"D23","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","21","Humber Summit",5
215,2019,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","70","South Riverdale",1
216,2022,"D41","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","119","Wexford/Maryvale",11
217,2016,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","150","Fenside-Parkwoods",4
218,2017,"D31","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","24","Black Creek",12
219,2017,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","169","Bay-Cloverhill",28
220,2018,"D14","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","81","Trinity-Bellwoods",2
221,2017,"D22","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","10","Princess-Rosethorn",6
222,2020,"D23","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","8","Humber Heights-Westmount",41
223,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","40","St.Andrew-Windfields",1
224,2014,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","53","Henry Farm",20
225,2017,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","118","Tam O'Shanter-Sullivan",3
226,2019,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","52","Bayview Village",122
227,2016,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","88","High Park North",69
228,2018,"D31","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","21","Humber Summit",1
229,2017,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","124","Kennedy Park",214
230,2019,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","122","Birchcliffe-Cliffside",20
231,2022,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","NSA","NSA",1004
232,2017,"D51","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","74","North St.James Town",3
233,2019,"D43","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","141","Golfdale-Cedarbrae-Woburn",43
234,2018,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","1","West Humber-Clairville",3
235,2016,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","3","Thistletown-Beaumond Heights",165
236,2017,"D53","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","167","Church-Wellesley",17
237,2015,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","164","Wellington Place",452
238,2016,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","135","Morningside",8
239,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","9","Edenbridge-Humber Valley",20
240,2017,"D11","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","85","South Parkdale",2
241,2020,"D55","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","43","Victoria Village",114
242,2018,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","153","Avondale",1
243,2021,"D53","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","NSA","NSA",9
